### Module positions - created on Wed 16 Nov 2022 09:29:39 AM EST ###
### Printed by Pcbnew version 6.0.2+dfsg-1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val           Package                   PosX       PosY       Rot  Side
R7        82            R_0603_1608Metric      83.8200   -66.0400   90.0000  top
R8        82            R_0603_1608Metric      87.6300   -66.0400   90.0000  top
R9        82            R_0603_1608Metric      60.9600   -76.2000   90.0000  top
R10       82            R_0603_1608Metric      64.7700   -76.2000   90.0000  top
R11       82            R_0603_1608Metric      68.5800   -76.2000   90.0000  top
R12       82            R_0603_1608Metric      72.3900   -76.2000   90.0000  top
R13       82            R_0603_1608Metric      76.2000   -76.2000   90.0000  top
R14       82            R_0603_1608Metric      80.0100   -76.2000   90.0000  top
R15       82            R_0603_1608Metric      83.8200   -76.2000   90.0000  top
R16       82            R_0603_1608Metric      87.6300   -76.2000   90.0000  top
## End
